TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,0,0,71,51,4.69,17,15,0,31
2.02E+13,804,0,71,51,4.69,17,15,0,31
2.02E+13,801,0,71,51,4.69,17,15,0,28
2.02E+13,801,0,72,51,4.69,17,15,0,28
2.02E+13,796,0,72,51,4.62,17,15,0,31
2.02E+13,796,0,72,51,4.62,17,15,0,31
2.02E+13,800,0,72,51,4.69,17,15,0,29
2.02E+13,810,0,72,51,4.69,17,14,0,28
2.02E+13,810,0,72,51,4.62,17,14,0,31
2.02E+13,800,0,72,51,4.55,17,14,0,28
2.02E+13,809,0,72,51,4.55,17,14,0,31
2.02E+13,809,0,72,51,4.62,17,14,0,31
2.02E+13,797,0,72,51,4.55,17,14,0,30
2.02E+13,797,0,72,51,4.55,17,14,0,31
2.02E+13,798,0,72,51,4.69,17,14,0,31
2.02E+13,803,0,72,51,4.62,17,14,0,30
2.02E+13,803,0,72,51,4.62,17,14,0,30
2.02E+13,810,0,72,51,4.55,17,14,0,30
2.02E+13,810,0,72,51,4.55,17,14,0,31
2.02E+13,810,0,72,51,4.55,17,16,0,29
2.02E+13,776,0,72,51,5.53,17,17,0,31
2.02E+13,814,0,72,51,5.53,17,17,0,29
2.02E+13,814,0,72,51,5.53,17,16,0,28
2.02E+13,807,0,72,50,5.46,17,16,0,30
2.02E+13,793,0,72,51,5.46,17,17,0,30
2.02E+13,793,0,72,51,5.32,17,16,0,28
2.02E+13,803,0,72,50,5.39,17,16,0,30
2.02E+13,803,0,72,50,5.39,17,16,0,31
2.02E+13,798,0,72,50,7.42,20,16,0,28
2.02E+13,786,0,72,50,5.46,20,27,0,29
2.02E+13,786,3,73,50,5.46,17,15,3.7,30
2.02E+13,827,3,73,50,5.46,17,15,3.6,29
2.02E+13,791,3,73,50,5.6,17,17,2.7,30
2.02E+13,791,2,73,50,5.6,17,16,2.7,28
2.02E+13,841,2,73,49,5.39,17,16,3.6,28
2.02E+13,838,0,73,49,5.39,17,17,0,29
2.02E+13,838,0,73,49,13.44,24,34,0,30
2.02E+13,1184,0,73,51,16.38,25,34,0,30
2.02E+13,1505,5,73,51,16.38,25,32,3.1,29
2.02E+13,1505,5,73,51,12.46,22,18,3.6,29
2.02E+13,1409,8,73,51,6.3,22,18,3.4,28
2.02E+13,1409,11,73,50,6.3,17,16,2.6,28
